claim_id,claim_text,subject,domain,claim_type,status,confidence,source_ids,supporting_locations,contradicting_source_ids,first_seen,last_checked,as_of,refresh_by,scope,unresolved_gap,owner,decision_use,supersedes,superseded_by
"C-015","ReAct reports gains from interleaving reasoning and actions in controlled QA and interactive environments.","ReAct","tool use","external source summary","Grounded fact","high","S-022","reported QA and environment results","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper tools demonstrations and environments","Injection recovery and permission behavior on target surface are Unknown","Project owner (identity unresolved)","T-009 evidence state","",""
"C-016","PAL reports gains by generating programs and delegating computation on mathematical symbolic and algorithmic tasks.","PAL","executable reasoning","external source summary","Grounded fact","high","S-023","reported task results","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper models code runtime and tasks","Wrong-code detection and non-code transfer are unresolved","Project owner (identity unresolved)","T-011 evidence state","",""
"C-017","Intrinsic self-refinement has mixed primary evidence and should not be treated as reliable correction without an external signal and stop rule.","Self-refinement","quality control","synthesis inference","Corroborated","medium","S-024;S-025","reported gains and self-correction limitations","S-024;S-025","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper models tasks and feedback regimes","Exact conditions that predict benefit need local tests","Project owner (identity unresolved)","T-013 guarded state","",""
"C-018","CRITIC and Chain-of-Verification report improvements from tool-backed or independently planned verification on their tested tasks.","Independent verification","quality control","external source summary","Grounded fact","high","S-026;S-027","reported verification experiments","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper models tools and tasks","Verifier independence and false-correction rate are unresolved","Project owner (identity unresolved)","T-012 evidence state","",""
"C-019","RAG reports retrieval-grounded gains in its original stack and Lost in the Middle reports position-sensitive long-context degradation; direct transfer to current agent context composition is unestablished.","Retrieval and context","context engineering","synthesis inference","Corroborated","medium","S-028;S-029","reported retrieval and position experiments","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Original paper systems and tasks","Current target model and retrieval stack are Unknown","Project owner (identity unresolved)","T-005 evidence and limits","",""
"C-020","APE DSPy and TextGrad report automated prompt or pipeline optimization gains in tested systems but require local controls for transfer leakage stability and cost.","Prompt optimization","optimization","synthesis inference","Corroborated","medium","S-030;S-031;S-032","reported optimization experiments","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper systems models and tasks","Local frozen splits and model pinning are absent","Project owner (identity unresolved)","T-014 evidence and controls","",""
"C-021","AutoGen establishes flexible multi-agent infrastructure but mixed debate evidence does not establish that multi-agent orchestration reliably beats matched-budget single-agent baselines.","Multi-agent orchestration","orchestration","synthesis inference","Corroborated","medium","S-033;S-034","framework scope and debate comparison","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper frameworks models and tasks","Local matched-token evidence is absent","Project owner (identity unresolved)","T-017 low-priority state","",""
"C-022","Voyager reports strong execution-grounded skill-library gains in Minecraft but does not establish transfer to general Codex skill ecosystems.","Execution-grounded skill libraries","skill systems","external source summary","Grounded fact","high","S-035","reported Minecraft results and system design","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Minecraft environment and reported stack","Identity retrieval replay and safety transfer are Unknown","Project owner (identity unresolved)","T-018 evidence state","",""
"C-023","The local skill ecosystem already implements intent normalization routing grounding artifact pipelines evidence workflows evaluation loops and progressive disclosure while leaving several specialized prompt-engineering gaps.","Local skills","skill ecosystem","direct observation","Grounded fact","medium","S-036","LOCAL_SKILL_LANDSCAPE.md","","2026-07-28","2026-07-28","2026-07-28","2026-08-28","Observed local files and selected deep inspection","Functional overlap needs per-candidate review","Project owner (identity unresolved)","Avoid duplicate skills","",""
"C-024","A technique should be promoted to a skill only when it has a distinct trigger repeatable workflow artifact or action contract measured baseline advantage authority boundary owner and rollback.","Skill readiness","governance","recommendation","Forecast/opinion","medium","S-005;S-010;S-015;S-036","workspace synthesis","","2026-07-28","2026-07-28","2026-07-28","2026-09-30","This workspace adoption policy","Threshold predictive validity is untested","Project owner (identity unresolved)","All candidate decisions","",""
"C-025","Dynamic refinement controls were preferred to static controls in small comprehension-oriented HCI studies but did not establish improved downstream task accuracy.","Dynamic Prompt Middleware","interactive prompt refinement","external source summary","Grounded fact","high","S-037","survey and controlled-study findings","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Reported study populations and comprehension interface","Outcome accuracy and current-model transfer remain Unknown","Project owner (identity unresolved)","DP-001 baseline scope","",""
"C-026","Rephrase-and-Respond reports cross-task and cross-model gains from rewriting before response while leaving intent-preservation risk to local evaluation.","RaR","prompt rewriting","external source summary","Grounded fact","high","S-038","one-model and two-model experiments","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper tasks models and prompts","Explicit-requirement loss rate is unreported for this workspace","Project owner (identity unresolved)","DP-002 baseline","",""
"C-027","Selective clarification can improve mixed ambiguous and unambiguous QA but current ambiguity benchmarks show limited identification and clarification quality and only marginal gains from common prompting techniques.","Clarification","ambiguity handling","synthesis inference","Corroborated","medium","S-039;S-049","CLAM experiment results and CLAMBER benchmark findings","S-049","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper QA data models and user simulation","False-ask and missed-ambiguity rates on target tasks are Unknown","Project owner (identity unresolved)","DP-003 guarded evaluation","",""
"C-028","Modeling future conversation turns reports improved interpretation and ask-versus-answer prediction but is a training method rather than direct proof for a prompt-only clarification policy.","Future-turn clarification","ambiguity handling","external source summary","Grounded fact","high","S-040","reported F1 and judgment results","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper training setup and tasks","Prompt-only transfer is Unknown","Project owner (identity unresolved)","DP-004 mechanism inspiration","",""
"C-029","KATE EPR and Universal Self-Adaptive Prompting report gains from request-conditioned example selection or pseudo-demonstrations in their tested systems.","Adaptive examples","in-context learning","synthesis inference","Corroborated","medium","S-018;S-041;S-042","reported retrieval and pseudo-demonstration experiments","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper models tasks and example banks","Modern zero-shot baseline leakage and contamination remain unresolved","Project owner (identity unresolved)","DP-006 through DP-008 evaluation","",""
"C-030","Rewrite-Retrieve-Read reports retrieval-QA gains from rewriting the search query but does not establish preservation of the user's full execution constraints.","Query rewriting","retrieval","external source summary","Grounded fact","high","S-043","reported open-domain and multiple-choice QA experiments","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Retrieval query and QA outcome","Constraint-preservation rate is Unknown","Project owner (identity unresolved)","DP-009 invariant gate","",""
"C-031","Adaptive-RAG reports accuracy and efficiency gains by routing question complexity to different retrieval strategies; general dynamic-skill routing remains unproven.","Adaptive-RAG","routing","external source summary","Grounded fact","high","S-044","reported open-domain QA comparisons","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Question complexity and retrieval depth","Cross-domain route accuracy is Unknown","Project owner (identity unresolved)","DP-010 routing study","",""
"C-032","ProTeGi and PRewrite report gains from scored prompt rewriting in their tested systems while introducing search leakage reward and training-cost risks.","Scored prompt rewriting","optimization","synthesis inference","Corroborated","medium","S-045;S-046","reported optimization experiments","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper models tasks budgets and rewards","Requirement-preserving heldout performance is Unknown","Project owner (identity unresolved)","DP-013 and DP-014 gating","",""
"C-033","MIPROv2 and GEPA report advanced multi-stage or reflective prompt optimization gains but require substantial search context and reproduction before local use.","Advanced prompt optimization","optimization","synthesis inference","Looks believable","medium","S-047;S-048","reported paper comparisons","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper programs tasks trajectories and budgets","Independent replication and local cost-benefit are Unknown","Project owner (identity unresolved)","Defer DP-015 and DP-016 until simple baselines clear","",""
"C-034","OPRO PromptBreeder and PromptAgent demonstrate distinct search strategies for prompt optimization but do not remove the need for fixed scorers matched budgets invariant filters and untouched tests.","Search-based prompt optimization","optimization","synthesis inference","Corroborated","medium","S-050;S-051;S-052","reported candidate-history evolutionary and planning searches","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Paper tasks models and search budgets","Generalization and preservation on current target surface are Unknown","Project owner (identity unresolved)","DP-017 through DP-019 controls","",""
"C-035","None of the reviewed automatic prompt optimizer papers establishes lossless preservation of every explicit user requirement and authority boundary.","Requirement preservation","optimization safety","absence-of-evidence inference","Looks believable","medium","S-030;S-045;S-046;S-047;S-048;S-050;S-051;S-052","reviewed task metrics and methods","","2026-07-28","2026-07-28","2026-07-28","2027-01-28","Reviewed sources only","A dedicated systematic review could find contrary evidence","Project owner (identity unresolved)","Mandatory invariant ledger and hard gate","",""
"C-036","A reliable self-evolving prompt skill should restrict autonomous mutation to versioned context candidates learn only from development evidence compare against frozen retrieval and require fresh holdout evidence plus named-human promotion and rollback.","Governed stateful evolution","stateful agent evaluation","synthesis inference","Corroborated","medium","S-005;S-006;S-008;S-010;S-024;S-025","source guidance plus research/evaluations/codex-stateful-loop/PROTOCOL.md and ARCHITECTURE.md","","2026-07-29","2026-07-29","2026-07-29","2027-01-29","Codex-style request-to-prompt skills with durable context","No behavioral runs have been authorized and thresholds remain uncalibrated","Project owner (identity unresolved)","Require governed evaluation before any production promotion","",""
"C-037","Lost in the Middle and Chroma's Context Rot report position distractor and length-sensitive degradation on their tested systems; nominal context-window capacity is therefore insufficient evidence of task reliability.","Long-context reliability","context composition","synthesis inference","Corroborated","medium","S-029;S-055","reported position length and distractor experiments","","2026-07-29","2026-07-29","2026-07-29","2027-01-29","Tested models and tasks in the cited studies","Transfer magnitude to current Codex tasks is Unknown","Project owner (identity unresolved)","Require full-context and focused-context baselines plus workload-specific evaluation","",""
"C-038","LongMemEval operationalizes long-term context quality as distinct extraction multi-session temporal update and abstention abilities which should be evaluated separately rather than collapsed into one retrieval score.","Long-term memory evaluation","context composition","external source summary","Grounded fact","high","S-054","abstract and benchmark design","","2026-07-29","2026-07-29","2026-07-29","2027-01-29","LongMemEval benchmark design","Behavioral transfer to prompt skills is untested","Project owner (identity unresolved)","Define T-005 fixture families and future holdout strata","",""
"C-039","LongMemEval-V2 directly frames agent memory evaluation as context gathering from large experience histories and reports stronger task results for a code-agent-style baseline than retrieval baselines with substantial latency; the preprint does not establish a universal best architecture.","Agent context gathering","context composition","external source summary","Grounded fact","medium","S-056","abstract and reported experiment summary","","2026-07-29","2026-07-29","2026-07-29","2026-11-29","LongMemEval-V2 benchmark and tested agents","Recent preprint results need independent replication and matched-cost transfer tests","Project owner (identity unresolved)","Include context-gathering and latency in future T-005 behavioral evaluation","",""
"C-040","Anthropic reports that contextualized chunks plus BM25 reduced top-20 retrieval failure by 49 percent and reranking reduced it by 67 percent on its tested corpora while adding runtime cost and latency; this does not establish transfer to Codex skill context.","Contextual retrieval","context composition","external source summary","Grounded fact","medium","S-053","performance improvements and cost and latency considerations","","2026-07-29","2026-07-29","2026-07-29","2027-01-29","Anthropic tested corpora retrieval stack and metrics","End-task accuracy and transfer to this workspace are untested","Project owner (identity unresolved)","Retain contextual retrieval as a candidate ablation rather than an assumed default","",""
"C-041","The frozen bundled Codex CLI populated configuration and system-skill files into a shared temporary CODEX_HOME during the first discarded preflight; a fresh per-cell runtime home is required by this harness to preserve cross-cell isolation.","Pilot runtime isolation","evaluation infrastructure","direct observation","Grounded fact","high","S-057","discarded preflight trace and isolated CODEX_HOME artifact inventory","","2026-07-29","2026-07-29","2026-07-29","2026-08-29","Bundled Codex CLI 0.146.0-alpha.3.1 and this harness","Replacement preflight has not yet validated the repair because its extra three-cell budget is unapproved","Ted Ahn (current workspace owner)","Block scored execution until replacement preflight passes","",""
"C-042","Explicit dependency metadata plus deterministic topological ordering eliminated the observed CC-003 ordering failures for both governed context-composer conditions without changing their recall precision safety stale or budget metrics.","Context dependency ordering","context composition","direct observation","Grounded fact","high","S-058","CC-MECH-2026-07-29-01 and context composer unit tests","","2026-07-29","2026-07-29","2026-07-29","2026-08-29","Twelve synthetic mechanical fixtures","Behavioral ordering effects and transfer remain untested","Ted Ahn (current workspace owner)","Permit repository-local candidate packaging but not promotion","",""
"C-043","A workspace-grounded approach-exploration workflow may improve option distinctness baseline inclusion countercase quality recommendation traceability and reversible-test selection relative to a minimal advisory instruction.","Explore Approaches","prompt engineering","synthesis inference","Forecast/opinion","low","S-059","research/technique-profiles/T-019-workspace-grounded-approach-exploration.md; research/evaluations/explore-approaches/PROTOCOL.md","","2026-07-29","2026-07-29","2026-07-29","2026-08-29","Repository-local Codex prototype","Fresh held-out comparison against raw minimal-advice and professionalize-prompt baselines is absent","Ted Ahn (current workspace owner)","Decide standalone promotion versus composition or guidance","",""
"C-044","The explore-approaches v0.1.0 artifact explicitly requires a simple baseline distinct options evidence separation countercases a reversible test and no implementation without explicit authorization.","Explore Approaches","prompt engineering","direct observation","Grounded fact","high","S-059","skills/explore-approaches/SKILL.md; research/evaluations/explore-approaches/scripts/check_candidate.py","","2026-07-29","2026-07-29","2026-07-29","2026-08-29","Static repository artifact only","Behavioral compliance and cross-surface transfer are untested","Ted Ahn (current workspace owner)","Permit structural validation and development forward tests only","",""
"C-045","Four independent explore-approaches development forward tests produced no unauthorized action; one initial technical response exposed unlabeled numerical proposals and a confounded multi-intervention test and revision R1 was followed by one fresh technical response that passed those diagnosed gates.","Explore Approaches development forward test","prompt engineering","experimental observation","Experimental","low","S-059","research/evaluations/explore-approaches/results/forward-test-2026-07-29.md","","2026-07-29","2026-07-29","2026-07-29","2026-08-29","Four unblinded development requests on the active Codex subagent surface","No baseline arms repeated trials resource measurements fresh holdout or human adjudication","Ted Ahn (current workspace owner)","Retain repository-local prototype and require the full protocol before promotion","",""
"C-046","The explore-approaches lifecycle package implements a fail-closed evidence-to-release state machine with signed holdout custody deterministic plan subject and lifecycle runtime binding private HMAC blinding raw-artifact and blind-packet reconstruction evidence-manifest-bound dimension grading detached SSH approval exact-base allowlisting allowlisted independent exact-head PR review canonical merge recovery exact-tree and full-manifest verification helper-staged crash-recoverable installation and verified canary rollback; its model-free unit and adversarial suite passes.","Explore Approaches lifecycle automation","evaluation and release governance","direct observation","Grounded fact","high","S-060","research/evaluations/explore-approaches/automation; research/evaluations/explore-approaches/tests","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Local standard-library implementation and 62 model-free tests","Live model adapters GitHub review and merge root installation and behavioral efficacy remain untested","Ted Ahn (current workspace owner)","Permit automated continuation only after conclusive evidence and valid human authority; do not promote now","",""
"C-047","The review-skill-candidate v0.1.0 artifact defines immutable review targets role-isolated context packets schema-bound submissions independent adjudication deterministic integrity validation and a separate named-human decision gate.","Review Skill Candidate","review governance","direct observation","Grounded fact","high","S-061","skills/review-skill-candidate/SKILL.md; skills/review-skill-candidate/references; skills/review-skill-candidate/scripts/review_bundle.py","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Repository-local versioned artifact only","Behavioral reviewer effectiveness and cross-surface transfer remain untested","Ted Ahn (current workspace owner)","Permit repository-local development review cycles only","",""
"C-048","Sixteen deterministic bundle tests pass for review packet freezing overwrite refusal missing-role failure open-P1 gating duplicate reviewer identities stale submission hashes packet drift exhaustive schema validation and Git lookup failure classification; the frozen PR-001 bundle also validates after adjudication.","Review Skill Candidate mechanics","review governance","experimental observation","Experimental","high","S-061;S-062","research/evaluations/skill-review-process/tests/test_review_bundle.py; research/reviews/PR-001/validation-summary.json","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Local standard-library tests and one frozen development bundle","No matched-budget behavioral baseline latency token cost or human-effort comparison","Ted Ahn (current workspace owner)","Retain as an uninstalled prototype and run formal holdouts before promotion","",""
"C-049","Three isolated role reviewers and a separate adjudicator upheld seven findings on frozen PR #1 including three open P1 findings; the deterministic validator computed changes_required while preserving the named-human merge gate.","PR #1 governed development review","review governance","experimental observation","Experimental","high","S-062","research/reviews/PR-001/submissions; research/reviews/PR-001/adjudication/adjudication.json; research/reviews/PR-001/validation-summary.json","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","One unblinded frozen development PR with no seeded defect ground truth","Recall precision comparative value and reviewer cost remain Unknown","Ted Ahn (current workspace owner)","Keep the PR draft remediate P1 findings and require a new frozen-head review before any human merge decision","",""
"C-050","The Pilot V2 runner now keeps resolved authentication material outside every tool-readable root rejects credential-target and descendant-symlink overlap and cleans up failed setup and child-process paths; 25 model-free tests pass.","Professionalize Prompt Pilot V2 credential isolation","evaluation isolation","experimental observation","Experimental","high","S-063","research/evaluations/professionalize-prompt/pilot-v2/scripts/run_pilot.py; research/evaluations/professionalize-prompt/pilot-v2/tests/test_run_pilot.py","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Synthetic authentication files and fake Codex execution on macOS","No live Codex workspace-write discovery run Linux execution or scored provider cells","Ted Ahn (current workspace owner)","Close ER-001 for targeted remediation and permit a fresh exact-head review","",""
"C-051","Context Composer v0.2 fails closed on missing or invalid trust sensitivity content-type and producer metadata excludes secret and instruction-bearing content enforces the published schema vocabulary and preserves the B0/C1 recall tie as a null result; 17 tests pass.","Context Composer v0.2 remediation","context composition","experimental observation","Experimental","high","S-063","skills/context-composer; research/evaluations/context-composer/results/mechanical-summary-2026-07-30.json","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Twelve synthetic fixtures five mechanical conditions and four negative security cases","Producer identity remains a process control and behavioral transfer remains Unknown","Ted Ahn (current workspace owner)","Close SSO-001 ER-002 and EM-001 for targeted remediation without claiming superiority","",""
"C-052","The explore-approaches lifecycle separates pre-promotion authorization immutable PR evidence and post-merge release attestation adds critical injection and secret gates freezes analysis semantics binds subject runtime artifacts lifecycle command entrypoints and declared dependencies plus canonical plan and evidence manifests enforces a frozen independent-reviewer allowlist recovers only hash-matched frozen configuration verifies promotion ancestry and retains required-check validation after merge; 62 tests checker and model-free end-to-end validation pass.","Explore Approaches lifecycle remediation","evaluation and release governance","experimental observation","Experimental","high","S-063;S-069","research/evaluations/explore-approaches; skills/explore-approaches/SKILL.md","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Local provider-neutral automation synthetic fixtures and generated ephemeral signing evidence","No live model GitHub protected-branch or root-install promotion run and behavioral efficacy remains Unknown","Ted Ahn (current workspace owner)","Mechanically address lifecycle and provenance findings pending exact-head review and retain human-final authority","",""
"C-053","The repository merge gate validates all four skill packages compares the complete normalized dashboard artifact rejects mismatched caller configuration during frozen-run recovery and preserves required status-check validation after merge; targeted local checks pass.","Final merge-gate hardening","CI and review reproducibility","experimental observation","Experimental","high","S-064",".github/workflows/explore-approaches-validation.yml; dashboard/scripts/build-data.mjs; research/evaluations/skill-review-process/scripts/validate_skill_packages.py; research/evaluations/explore-approaches","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Local standard-library tests and CI-equivalent commands","Hosted GitHub Actions and exact-head review remain pending; no behavioral efficacy inference","Ted Ahn (current workspace owner)","Permit immutable exact-head review after main integration and full local validation","",""
"C-054","Current OpenAI guidance distinguishes GPT-5.6 family roles and product-surface reasoning controls while recommending outcome-focused prompts and measured capability adoption rather than instructions to reason harder.","GPT-5.6 model-aware prompting","prompt specification","external source summary","Grounded fact","high","S-001;S-002;S-065;S-066;S-067","GPT-5.6 prompting guidance; migration guide; ChatGPT availability; API model catalog","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Current documented OpenAI surfaces","Local quality latency and cost effects are untested","Ted Ahn","Define the T-004 model-profile gate and refresh rules","",""
"C-055","Separating prompt model reasoning surface tool and optional-capability effects should make model-aware prompt regressions more attributable than changing them together.","Model-aware evaluation design","evaluation methodology","synthesis inference","Looks believable","medium","S-005;S-006;S-065;S-066","official optimization and evaluation guidance plus T-004 and E-027","","2026-07-30","2026-07-30","2026-07-30","2027-01-30","Professionalize-prompt challenger evaluation","No behavioral run has tested attribution quality or maintenance cost","Ted Ahn","Keep the candidate at prototype until E-027 and fresh holdout review","",""
"C-056","The author-summarized PR-003 remediation record reports bounded changes for exhaustive review-schema enforcement, operational Git failure classification, frozen and reverified lifecycle executables, verified human identity, private artifact modes, active GitHub actor binding, and corrected evidence traceability; mechanically verified local results include 58 lifecycle and 25 review-process tests passing.","PR-003 author-summarized remediation record","review and lifecycle governance","author-summarized remediation record","Experimental","medium","S-068","skills/review-skill-candidate/scripts/review_bundle.py; research/evaluations/explore-approaches; research/evaluations/skill-review-process/results/remediation-summary-2026-07-30.json","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Local provider-neutral deterministic tests and an author-summarized remediation record; raw PR-003 submissions and adjudication are unavailable","Raw PR-003 reviewer submissions and adjudication were not preserved, so the historical finding inventory is not independently traceable; replacement exact-head review, hosted CI, live GitHub credentials, provider calls, and production installation remain untested; behavioral efficacy is Unknown","Ted Ahn (current workspace owner)","Require a replacement immutable exact-head review before merging and keep promotion and installation unauthorized","",""
"C-057","The post-PR-004 candidate fails closed on frozen pilot artifact drift, validates submissions adjudication and human decisions against packet-frozen schemas, sanitizes Git diff configuration, and binds lifecycle interpreter entrypoints plus declared dependencies; 17 pilot-runner, 25 review-process, and 62 lifecycle tests pass locally.","Final merge-gate remediation candidate","review evaluation and lifecycle governance","experimental observation","Experimental","high","S-069","research/evaluations/professionalize-prompt/pilot-v2/experiments/EXP-PP-V2-PILOT.json; skills/review-skill-candidate/scripts/review_bundle.py; research/evaluations/explore-approaches/automation/evaluation.py","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Provider-neutral local deterministic controls on the uncommitted replacement candidate","A fresh immutable exact-head review hosted CI and human target-bound merge decision remain required; behavioral efficacy provider execution promotion and installation remain Unknown or unauthorized","Ted Ahn (current workspace owner)","Permit a replacement exact-head merge review only; do not infer adoption or efficacy","","C-058"
"C-058","The post-PR-005 replacement candidate adds signed and bounded provider execution authority, separated lifecycle roles, allowlisted child-process environments, crash-recoverable active rollback, detached model-free validation, durable pilot replay protection, sealed preflight and scored artifacts, and schema-1.1 reviewer identity and evidence binding; 196 repository unit tests and the additional candidate, package, lifecycle, legacy-packet, dashboard, and compilation checks pass locally.","PR-005 remediation candidate","review evaluation and lifecycle governance","experimental observation","Experimental","high","S-070","research/evaluations/skill-review-process/results/PR-005-remediation-mechanical-validation-2026-07-30.json; research/evaluations/explore-approaches/tests/test_execution_safety.py; research/evaluations/professionalize-prompt/pilot-v2/tests/test_run_pilot.py; research/evaluations/skill-review-process/tests/test_review_bundle.py","","2026-07-30","2026-07-30","2026-07-30","2026-08-30","Provider-neutral local deterministic controls on the staged replacement candidate","A fresh immutable exact-head review, hosted CI, and exact-target human merge record remain required; behavioral efficacy, provider execution, promotion, and installation remain Unknown or unauthorized","Ted Ahn (current workspace owner)","Permit only a replacement exact-head merge review; do not infer adoption, efficacy, promotion, or installation readiness","C-057",""
